,authors,title,venue,year,type,id,cited by,title_ranking
0,"Fares Aqlan, Xiaoping Fan, Abdullah Alqwbani, Akram Al-Mansoub",Arabic-Chinese Neural Machine Translation - Romanized Arabic as Subword Unit for Arabic-sourced Translation.,IEEE Access,2019,Journal Articles,arabicchineseneuralmachinetranslationromanizedarabicassubwordunitforarabicsourcedtranslation2019,,ArabicChinese Neural Machine Translation Romanized Arabic Subword Unit Arabicsourced Translation
1,"Ahmed Mosa, Katsuhiko Kakehi",A way of Supporting Non-Arabic Speakers in Identifying Arabic Letters and Reading Arabic script in our new E-Learning System.,EAI Endorsed Trans. e Learn.,2015,Journal Articles,awayofsupportingnonarabicspeakersinidentifyingarabiclettersandreadingarabicscriptinournewelearningsystem2015,,Supporting NonArabic Speakers Identifying Arabic Letters Reading Arabic script ELearning System
2,"Ahmed Mosa, Katsuhiko Kakehi",A Way of Supporting Non-Arabic Speakers in Identifying Arabic Letters and Reading Arabic Script in an E-Learning System.,eLEOT,2014,Conference and Workshop Papers,awayofsupportingnonarabicspeakersinidentifyingarabiclettersandreadingarabicscriptinanelearningsystem2014,,Supporting NonArabic Speakers Identifying Arabic Letters Reading Arabic Script ELearning System
3,Cornelia Schöck,"Name (ism), Derived Name (ism mushtaqq) and Description (waṣf) in Arabic Grammar, Muslim Dialectical Theology and Arabic Logic.",The Unity of Science in the Arabic Tradition,2008,Parts in Books or Collections,nameismderivednameismmushtaqqanddescriptionwaṣfinarabicgrammarmuslimdialecticaltheologyandarabiclogic2008,,Name ism Derived Name ism mushtaqq Description waṣf Arabic Grammar Muslim Dialectical Theology Arabic Logic
4,Mustafa Jarrar,The Arabic ontology - an Arabic wordnet with ontologically clean content.,Appl. Ontology,2021,Journal Articles,thearabicontologyanarabicwordnetwithontologicallycleancontent2021,,Arabic ontology Arabic wordnet ontologically clean content
5,Mohammad D. Aldhafiri,The effectiveness of using interactive white boards in improving the Arabic listening skills of undergraduates majoring in Arabic language at Kuwaiti universities.,Educ. Inf. Technol.,2020,Journal Articles,theeffectivenessofusinginteractivewhiteboardsinimprovingthearabiclisteningskillsofundergraduatesmajoringinarabiclanguageatkuwaitiuniversities2020,,effectiveness interactive white boards improving Arabic listening skills undergraduates majoring Arabic language Kuwaiti universities
6,Chiraz Ben Othmane Zribi,English-Arabic collocation extraction to enhance Arabic collocation identification.,Knowl. Inf. Syst.,2020,Journal Articles,englisharabiccollocationextractiontoenhancearabiccollocationidentification2020,,EnglishArabic collocation extraction enhance Arabic collocation identification
7,"Hussein Khalil, Taha Osman, Mohammed Miltan",Extracting Arabic Composite Names Using Genitive Principles of Arabic Grammar.,ACM Trans. Asian Low Resour. Lang. Inf. Process.,2020,Journal Articles,extractingarabiccompositenamesusinggenitiveprinciplesofarabicgrammar2020,,Extracting Arabic Composite Names Genitive Principles Arabic Grammar
8,"Hamzah Luqman, Sabri A. Mahmoud",A machine translation system from Arabic sign language to Arabic.,Univers. Access Inf. Soc.,2020,Journal Articles,amachinetranslationsystemfromarabicsignlanguagetoarabic2020,,machine translation system Arabic sign language Arabic
9,M. M. Kamruzzaman,Arabic Sign Language Recognition and Generating Arabic Speech Using Convolutional Neural Network.,Wirel. Commun. Mob. Comput.,2020,Journal Articles,arabicsignlanguagerecognitionandgeneratingarabicspeechusingconvolutionalneuralnetwork2020,,Arabic Sign Language Recognition Generating Arabic Speech Convolutional Neural Network
10,Tariq Jamil,Design and Implementation of an Intelligent System to translate Arabic Text into Arabic Sign Language.,CCECE,2020,Conference and Workshop Papers,designandimplementationofanintelligentsystemtotranslatearabictextintoarabicsignlanguage2020,,Design Implementation Intelligent System translate Arabic Text Arabic Sign Language
11,"Nachum Dershowitz, Ori Terner",Transliteration of Judeo-Arabic Texts into Arabic Script Using Recurrent Neural Networks.,CoRR,2020,Informal Publications,transliterationofjudeoarabictextsintoarabicscriptusingrecurrentneuralnetworks2020,1.0,Transliteration JudeoArabic Texts Arabic Script Recurrent Neural Networks
12,"Dana Halabi, Ebaa Fayyoumi, Arafat Awajan",I3rab - A New Arabic Dependency Treebank Based on Arabic Grammatical Theory.,CoRR,2020,Informal Publications,i3rabanewarabicdependencytreebankbasedonarabicgrammaticaltheory2020,1.0,I3rab Arabic Dependency Treebank Based Arabic Grammatical Theory
13,Ahmad Hussein Salim Ababneh,The enhancement of Arabic information retrieval using Arabic text summarization.,,2019,Books and Theses,theenhancementofarabicinformationretrievalusingarabictextsummarization2019,,enhancement Arabic information retrieval Arabic text summarization
14,Abdulkareem Alsudais,Image Classification in Arabic - Exploring Direct English to Arabic Translations.,IEEE Access,2019,Journal Articles,imageclassificationinarabicexploringdirectenglishtoarabictranslations2019,3.0,Image Classification Arabic Exploring Direct Arabic Translations
