Unnamed: 0,Unnamed: 0.1,authors,title,venue,year,type,id,cited by,title_ranking,man,woman,None,first,group,rank
15,15,"Nada Ahmed J., Abdul Monem S. Rahma, Maha A. Hmmood Alrawi",A Novel Coding and Discrimination (CODIS) ‎Algorithm to Extract Features from Arabic Texts to ‎Discriminate Arabic Poems.,Int. J. Adv. Pervasive Ubiquitous Comput.,2019,Journal Articles,anovelcodinganddiscriminationcodis‎algorithmtoextractfeaturesfromarabictextsto‎discriminatearabicpoems2019,,Novel Coding Discrimination CODIS ‎Algorithm Extract Features Arabic Texts ‎Discriminate Arabic Poems,1,2,0,AF,3,1
17,17,"Taha Zerrouki, Mohammed M. Abu Shquier, Amar Balla, Nabila Bousbia, Imededdine Sakraoui, Fateh Boudardara",Adapting eSpeak to Arabic language - converting Arabic text to speech language using eSpeak.,Int. J. Reason. based Intell. Syst.,2019,Journal Articles,adaptingespeaktoarabiclanguageconvertingarabictexttospeechlanguageusingespeak2019,5.0,Adapting eSpeak Arabic language converting Arabic text speech language eSpeak,4,1,1,AM,3,4
22,22,"Bushra Algotiml, AbdelRahim A. Elmadany, Walid Magdy",Arabic Tweet-Act - Speech Act Recognition for Arabic Asynchronous Conversations.,WANLP@ACL 2019,2019,Conference and Workshop Papers,arabictweetactspeechactrecognitionforarabicasynchronousconversations2019,,Arabic TweetAct Speech Act Recognition Arabic Asynchronous Conversations,1,1,1,AF,3,1
30,30,"Eslam Amer, Heba M. Khalil, Tarek. El-Shistawy",Enhancing Semantic Arabic Information Retrieval via Arabic Wikipedia Assisted Search Expansion Layer.,AISI,2017,Conference and Workshop Papers,enhancingsemanticarabicinformationretrievalviaarabicwikipediaassistedsearchexpansionlayer2017,,Enhancing Semantic Arabic Information Retrieval via Arabic Wikipedia Assisted Search Expansion Layer,0,1,2,AM,1,2
31,31,"Kalthoum Adam, Somaya Al-Máadeed, Ahmed Bouridane",Letter-based classification of Arabic scripts style in ancient Arabic manuscripts - Preliminary results.,ASAR,2017,Conference and Workshop Papers,letterbasedclassificationofarabicscriptsstyleinancientarabicmanuscriptspreliminaryresults2017,,Letterbased classification Arabic scripts style ancient Arabic manuscripts Preliminary results,1,1,1,AF,3,1
34,34,"Esraa Khalid Alobaydi, Rayan Yousif Alkhayat, Muhammad Rafie Mohd Arshad, Essia Ries Ahmed",Context-aware ubiquitous Arabic vocabularies learning system (U-Arabic) - A framework design and implementation.,ICCSCE,2017,Conference and Workshop Papers,contextawareubiquitousarabicvocabularieslearningsystemuarabicaframeworkdesignandimplementation2017,,Contextaware ubiquitous Arabic vocabularies learning system UArabic framework design implementation,1,1,1,NAF,3,4
40,40,"Hend S. Al-Khalifa, Afnan Alfaadhel, Daniah Albulikhi, Lamya Alrakhes, Nada Almugren, Sara Alqubaisi, Muna A. Muhaureq",A web-based system and web service for coloring and decoding Arabic text for Arabic learners.,iiWAS,2016,Conference and Workshop Papers,awebbasedsystemandwebserviceforcoloringanddecodingarabictextforarabiclearners2016,,webbased system web service coloring decoding Arabic text Arabic learners,0,7,0,AF,2,1
41,41,"Rana S. M. Saad, Randa I. Elanwar, N. S. Abdel Kader, Samia Mashali, Margrit Betke",BCE-Arabic-v1 dataset - Towards interpreting Arabic document images for people with visual impairments.,PETRA,2016,Conference and Workshop Papers,bcearabicv1datasettowardsinterpretingarabicdocumentimagesforpeoplewithvisualimpairments2016,,BCEArabicv1 dataset Towards interpreting Arabic document images people visual impairments,0,4,1,AF,2,1
42,42,"Reem Suwaileh, Mücahid Kutlu, Nihal Fathima, Tamer Elsayed, Matthew Lease",ArabicWeb16 - A New Crawl for Today&apos;s Arabic Web.,SIGIR,2016,Conference and Workshop Papers,arabicweb16anewcrawlfortodayapossarabicweb2016,,ArabicWeb16 Crawl Todayaposs Arabic Web,3,1,1,AF,3,1
43,43,"Wafia Adouane, Nasredine Semmar, Richard Johansson, Victoria Bobicev",Automatic Detection of Arabicized Berber and Arabic Varieties.,VarDial@COLING,2016,Conference and Workshop Papers,automaticdetectionofarabicizedberberandarabicvarieties2016,,Automatic Detection Arabicized Berber Arabic Varieties,1,1,2,AF,3,1
